iter	Passed	Remaining
0	139	139837
1	140	70031
2	140	46749
3	140	35105
4	141	28118
5	141	23462
6	142	20144
7	142	17655
8	142	15711
9	142	14154
10	143	12880
11	143	11819
12	143	10927
13	144	10158
14	144	9490
15	144	8906
16	145	8390
17	145	7933
18	145	7533
19	146	7187
20	147	6853
21	147	6548
22	147	6270
23	147	6014
24	148	5778
25	148	5561
26	148	5360
27	149	5172
28	149	4998
29	149	4836
30	149	4684
31	150	4541
32	150	4408
33	150	4282
34	150	4163
35	151	4050
36	151	3944
37	151	3843
38	152	3748
39	152	3659
40	152	3574
41	153	3501
42	153	3423
43	154	3348
44	154	3276
45	154	3208
46	154	3142
47	155	3079
48	155	3019
49	155	2961
50	156	2905
51	156	2852
52	156	2800
53	157	2750
54	157	2702
55	157	2656
56	157	2611
57	158	2568
58	158	2528
59	158	2487
60	159	2448
61	159	2410
62	159	2374
63	159	2339
64	160	2304
65	160	2273
66	160	2241
67	161	2210
68	161	2180
69	161	2151
70	162	2122
71	162	2094
72	162	2066
73	163	2040
74	163	2014
75	163	1989
76	163	1964
77	164	1941
78	164	1917
79	164	1895
80	165	1872
81	165	1851
82	165	1828
83	165	1807
84	166	1787
85	166	1768
86	166	1750
87	167	1731
88	167	1713
89	167	1695
90	167	1678
91	168	1661
92	168	1644
93	168	1628
94	169	1611
95	169	1596
96	169	1580
97	170	1565
98	170	1550
99	170	1535
100	170	1521
101	171	1507
102	171	1493
103	171	1479
104	172	1466
105	172	1453
106	172	1440
107	172	1428
108	173	1415
109	173	1403
110	173	1391
111	174	1379
112	174	1368
113	174	1356
114	174	1345
115	175	1334
116	175	1323
117	175	1313
118	176	1303
119	176	1293
120	176	1283
121	176	1272
122	177	1263
123	177	1253
124	177	1243
125	177	1234
126	178	1224
127	178	1215
128	178	1207
129	179	1198
130	179	1189
131	179	1181
132	179	1172
133	180	1164
134	180	1157
135	180	1149
136	181	1141
137	181	1133
138	181	1126
139	182	1118
140	182	1111
141	182	1103
142	182	1095
143	183	1089
144	183	1082
145	183	1075
146	184	1068
147	184	1061
148	184	1054
149	184	1048
150	185	1041
151	185	1035
152	185	1028
153	186	1022
154	186	1016
155	186	1010
156	186	1004
157	187	998
158	187	992
159	187	986
160	188	979
161	188	974
162	188	968
163	188	962
164	189	957
165	189	951
166	189	946
167	190	941
168	190	935
169	190	930
170	190	925
171	191	920
172	191	915
173	191	910
174	192	905
175	192	900
176	192	895
177	192	891
178	193	886
179	193	881
180	193	876
181	194	872
182	194	867
183	194	863
184	195	859
185	195	854
186	195	850
187	195	846
188	196	842
189	196	837
190	196	833
191	197	829
192	197	825
193	197	821
194	198	817
195	198	813
196	198	810
197	199	806
198	199	802
199	199	798
200	199	794
201	200	791
202	200	787
203	200	783
204	201	780
205	201	776
206	201	772
207	202	769
208	202	766
209	202	762
210	203	759
211	203	755
212	203	752
213	203	748
214	204	745
215	204	742
216	204	738
217	204	735
218	205	731
219	205	728
220	205	725
221	206	722
222	206	719
223	206	716
224	207	713
225	207	710
226	207	707
227	208	704
228	208	701
229	208	699
230	209	696
